scope,dataset,task,task_type,model_or_config,split,metric,value,time_train_s,time_infer_s,notes
relbench_json2vec_clean_matrix,rel-f1,driver-dnf,binary_classification,json2vec_d32_b64_lr0.001_e3_h128,test,average_precision,0.8754069493397943,217.9956500530243,1.315485954284668,clean fixed-config matrix; no tuning; warnings: relation 'qualifying' was capped at 128 rows; relation 'results' was capped at 128 rows; relation 'standings' was capped at 128 rows
relbench_json2vec_clean_matrix,rel-f1,driver-dnf,binary_classification,json2vec_d32_b64_lr0.001_e3_h128,test,accuracy,0.7991452991452992,217.9956500530243,1.315485954284668,clean fixed-config matrix; no tuning; warnings: relation 'qualifying' was capped at 128 rows; relation 'results' was capped at 128 rows; relation 'standings' was capped at 128 rows
relbench_json2vec_clean_matrix,rel-f1,driver-dnf,binary_classification,json2vec_d32_b64_lr0.001_e3_h128,test,f1,0.8635043562439496,217.9956500530243,1.315485954284668,clean fixed-config matrix; no tuning; warnings: relation 'qualifying' was capped at 128 rows; relation 'results' was capped at 128 rows; relation 'standings' was capped at 128 rows
relbench_json2vec_clean_matrix,rel-f1,driver-dnf,binary_classification,json2vec_d32_b64_lr0.001_e3_h128,test,roc_auc,0.7808715171034012,217.9956500530243,1.315485954284668,clean fixed-config matrix; no tuning; warnings: relation 'qualifying' was capped at 128 rows; relation 'results' was capped at 128 rows; relation 'standings' was capped at 128 rows
relbench_json2vec_clean_matrix,rel-f1,driver-top3,binary_classification,json2vec_d32_b64_lr0.001_e3_h128,val,average_precision,0.236506447257349,33.42009997367859,1.0456998348236084,clean fixed-config matrix; no tuning; warnings: relation 'qualifying' was capped at 128 rows; relation 'results' was capped at 128 rows; relation 'standings' was capped at 128 rows
relbench_json2vec_clean_matrix,rel-f1,driver-top3,binary_classification,json2vec_d32_b64_lr0.001_e3_h128,val,accuracy,0.7976190476190477,33.42009997367859,1.0456998348236084,clean fixed-config matrix; no tuning; warnings: relation 'qualifying' was capped at 128 rows; relation 'results' was capped at 128 rows; relation 'standings' was capped at 128 rows
relbench_json2vec_clean_matrix,rel-f1,driver-top3,binary_classification,json2vec_d32_b64_lr0.001_e3_h128,val,f1,0.0,33.42009997367859,1.0456998348236084,clean fixed-config matrix; no tuning; warnings: relation 'qualifying' was capped at 128 rows; relation 'results' was capped at 128 rows; relation 'standings' was capped at 128 rows
relbench_json2vec_clean_matrix,rel-f1,driver-top3,binary_classification,json2vec_d32_b64_lr0.001_e3_h128,val,roc_auc,0.6146996111877586,33.42009997367859,1.0456998348236084,clean fixed-config matrix; no tuning; warnings: relation 'qualifying' was capped at 128 rows; relation 'results' was capped at 128 rows; relation 'standings' was capped at 128 rows
relbench_json2vec_clean_matrix,rel-f1,driver-top3,binary_classification,json2vec_d32_b64_lr0.001_e3_h128,test,average_precision,0.327903823370923,33.42009997367859,1.3066768646240234,clean fixed-config matrix; no tuning; warnings: relation 'qualifying' was capped at 128 rows; relation 'results' was capped at 128 rows; relation 'standings' was capped at 128 rows
relbench_json2vec_clean_matrix,rel-f1,driver-top3,binary_classification,json2vec_d32_b64_lr0.001_e3_h128,test,accuracy,0.8236914600550964,33.42009997367859,1.3066768646240234,clean fixed-config matrix; no tuning; warnings: relation 'qualifying' was capped at 128 rows; relation 'results' was capped at 128 rows; relation 'standings' was capped at 128 rows
